Month	L	M	S	2nd (2.3rd)	5th	10th	25th	50th	75th	90th	95th	98th (97.7th)
0	1	33.8787	0.03496	31.5099	31.93054	32.36083	33.07983	33.8787	34.67757	35.39657	35.82686	36.2474987
1	1	36.5463	0.0321	34.20003	34.61666	35.04287	35.75503	36.5463	37.33757	38.04973	38.47594	38.8925725
2	1	38.2521	0.03168	35.82845	36.25882	36.69908	37.43474	38.2521	39.06946	39.80512	40.24538	40.6757531
3	1	39.5328	0.0314	37.05014	37.49099	37.94197	38.69554	39.5328	40.37006	41.12363	41.57461	42.0154598
4	1	40.5817	0.03119	38.05021	38.49974	38.95958	39.72797	40.5817	41.43543	42.20382	42.66366	43.1131864
5	1	41.459	0.03102	38.88688	39.34362	39.81085	40.59157	41.459	42.32643	43.10715	43.57438	44.0311164
6	1	42.1995	0.03087	39.5941	40.05675	40.53002	41.32084	42.1995	43.07816	43.86898	44.34225	44.8048971
7	1	42.829	0.03075	40.19502	40.66274	41.14121	41.9407	42.829	43.7173	44.51679	44.99526	45.4629835
8	1	43.3671	0.03063	40.71043	41.18218	41.66477	42.47115	43.3671	44.26305	45.06943	45.55202	46.0237685
9	1	43.83	0.03053	41.15374	41.62897	42.11512	42.92745	43.83	44.73255	45.54488	46.03103	46.5062598
10	1	44.2319	0.03044	41.53906	42.01724	42.50639	43.32375	44.2319	45.14005	45.95741	46.44656	46.9247381
11	1	44.5844	0.03035	41.87813	42.35869	42.85029	43.67172	44.5844	45.49708	46.31851	46.81011	47.2906731
12	1	44.8965	0.03027	42.17847	42.66112	43.15485	43.97986	44.8965	45.81314	46.63815	47.13188	47.6145341
13	1	45.1752	0.03019	42.44752	42.93188	43.42737	44.2553	45.1752	46.0951	46.92303	47.41852	47.9028786
14	1	45.4265	0.03012	42.69001	43.17594	43.67302	44.50363	45.4265	46.34937	47.17998	47.67706	48.1629924
15	1	45.6551	0.03006	42.91032	43.39772	43.89631	44.72944	45.6551	46.58076	47.41389	47.91248	48.3998846
16	1	45.865	0.02999	43.11402	43.60252	44.10224	44.93725	45.865	46.79275	47.62776	48.12748	48.6159827
17	1	46.0598	0.02993	43.30266	43.79225	44.29309	45.12997	46.0598	46.98963	47.82651	48.32735	48.8169396
18	1	46.2424	0.02987	43.47988	43.97043	44.47224	45.31075	46.2424	47.17405	48.01256	48.51437	49.004921
19	1	46.4152	0.02982	43.647	44.13856	44.6414	45.48164	46.4152	47.34876	48.189	48.69184	49.1834025
20	1	46.5801	0.02977	43.80672	44.2992	44.80299	45.64479	46.5801	47.51541	48.35721	48.861	49.3534792
21	1	46.7384	0.02972	43.96027	44.45359	44.95824	45.80149	46.7384	47.67531	48.51856	49.02321	49.5165305
22	1	46.8913	0.02967	44.10877	44.60287	45.10832	45.95291	46.8913	47.82969	48.67428	49.17973	49.6738297
23	1	47.0391	0.02962	44.2525	44.74733	45.25352	46.09933	47.0391	47.97887	48.82468	49.33087	49.8256963
24	1	47.1822	0.02957	44.39184	44.88734	45.39421	46.24117	47.1822	48.12323	48.97019	49.47706	49.9725553
